Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Al-Time
76__37,0,1,DT,0.704277216504579,0.701305448652261,0.761236156723451,0.701305448652261,0.721260744269358,0.675163000500387,0.200460433959961,0.0,0
76__37,1,2,DT,0.704466056085356,0.701424366427365,0.761376478383394,0.701424366427365,0.72138394709493,0.675369286284381,0.198487043380737,0.015623569488525,0
76__37,2,3,DT,0.704230006609385,0.701550953139698,0.761485550866578,0.701550953139698,0.721605035117121,0.6751127510179,0.210022211074829,0.0,0
76__37,3,4,DT,0.704277216504579,0.701586785411461,0.761510534988469,0.701586785411461,0.721626612078231,0.675161215119012,0.202987670898438,0.006983280181885,0
76__37,4,5,DT,0.704466056085356,0.701415229624806,0.761325635833757,0.701415229624806,0.721365433938147,0.675369082824796,0.200463771820068,0.006981134414673,0
76__37,5,6,DT,0.704654895666132,0.701494249491176,0.761386219344414,0.701494249491176,0.72143262687214,0.675576834011619,0.206445455551147,0.007981061935425,0
76__37,6,7,DT,0.704371636294968,0.701362551400911,0.761251599592902,0.701362551400911,0.721307810314977,0.675267646178626,0.207443237304688,0.006980895996094,0
76__37,7,8,DT,0.704560475875744,0.701760319269962,0.761707244833173,0.701760319269962,0.72179047658519,0.675472933839518,0.205450057983398,0.006980657577515,0
76__37,8,9,DT,0.703993957133415,0.701419926202133,0.761344606148817,0.701419926202133,0.72147938314037,0.674852771766234,0.201462507247925,0.006982088088989,0
76__37,9,10,DT,0.704324426399774,0.70156061447107,0.761492294052276,0.70156061447107,0.721599665999215,0.67521490994294,0.201421976089478,0.007978916168213,0
