Dataset,T,CV,ML algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,Alg-Time
0 empty,0,1,DT,0.674676612217921,0.663545652456813,0.70167737936362,0.663545652456813,0.674234072114038,0.642729244191049,0.280666589736938,0.009931087493896,0
0 empty,1,2,DT,0.674818241903503,0.663157929077755,0.700350439994035,0.663157929077755,0.673466810766102,0.642884818015629,0.272161722183228,0.005985021591187,0
0 empty,2,3,DT,0.674818241903503,0.661744948335451,0.698905604139059,0.661744948335451,0.672119606984893,0.642882265652392,0.262802839279175,0.0,0
0 empty,3,4,DT,0.674582192427533,0.661906122388523,0.699362719237886,0.661906122388523,0.672342125490475,0.642628325057909,0.261718511581421,0.015659809112549,0
0 empty,4,5,DT,0.674393352846757,0.661886834334409,0.699124321827352,0.661886834334409,0.672308858052864,0.642416648806336,0.259313106536865,0.0,0
0 empty,5,6,DT,0.674676612217921,0.663533702959718,0.700760588348225,0.663533702959718,0.673782049418173,0.642735499177097,0.270318746566772,0.010930299758911,0
0 empty,6,7,DT,0.674723822113115,0.661948638350039,0.699141358932191,0.661948638350039,0.672415137100144,0.642780503500391,0.270572185516357,0.015627145767212,0
0 empty,7,8,DT,0.674723822113115,0.663432805867874,0.700909566134477,0.663432805867874,0.673836022225675,0.642780976521817,0.253695726394653,0.010088205337524,0
0 empty,8,9,DT,0.674534982532339,0.66334084787515,0.700979725659976,0.66334084787515,0.673846269023948,0.642575147955017,0.261576175689697,0.010095357894897,0
0 empty,9,10,DT,0.674157303370786,0.661721531937146,0.699193195861073,0.661721531937146,0.672164085168962,0.642160765289591,0.291221380233765,0.009974718093872,0
