Dataset,T,CV,ML_algorithm,Acc,b_Acc,Precision, Recall , F1-score, kappa ,tra-Time,test-Time,total-Time,Al-Time
EdnetCam,0,1,DT,0.964646464646465,0.940506329113924,0.94895984518626,0.940506329113924,0.944655193067923,0.889314805941543,0.0,0.0,0.0,0
EdnetCam,0,2,DT,0.984848484848485,0.978350903614458,0.966666666666667,0.978350903614458,0.972391354868696,0.94478527607362,0.015620231628418,0.0,0.015620231628418,0
EdnetCam,0,3,DT,0.97979797979798,0.960229920770545,0.977745524915336,0.960229920770545,0.968670886075949,0.937351684859991,0.015620231628418,0.0,0.015620231628418,0
EdnetCam,0,4,DT,0.97979797979798,0.975338855421687,0.952833572453372,0.975338855421687,0.963636363636364,0.927286081527727,0.0,0.0,0.0,0
EdnetCam,0,5,DT,0.984848484848485,0.973419540229885,0.957109826589595,0.973419540229885,0.965064988531436,0.930134086097389,0.0,0.0,0.0,0
EdnetCam,0,6,DT,0.974747474747475,0.959713855421687,0.948484848484848,0.959713855421687,0.953985591447827,0.907975460122699,0.015625476837158,0.0,0.015625476837158,0
EdnetCam,0,7,DT,0.97979797979798,0.975757575757576,0.95407537248028,0.975757575757576,0.964490674318508,0.928994082840237,0.015620946884155,0.0,0.015620946884155,0
EdnetCam,0,8,DT,0.96969696969697,0.931475903614458,0.954761904761905,0.931475903614458,0.942630867297663,0.885283893395133,0.0,0.0,0.0,0
EdnetCam,0,9,DT,0.97979797979798,0.960714285714286,0.960714285714286,0.960714285714286,0.960714285714286,0.921428571428571,0.0,0.0,0.0,0
EdnetCam,0,10,DT,0.97979797979798,0.976147776183644,0.955246913580247,0.976147776183644,0.965293602103418,0.930599369085173,0.0,0.0,0.0,0
